"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Col9a1.image8.2020_07_23","inhibited","inhibited","WT","WT","WT"
"Daam.slide1_image1_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image10.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image11.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image13.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image14_left.2019_08_29","inhibited","inhibited","WT","WT","WT"
"Daam.slide1_image14_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image15.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image16_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image17_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image17_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image18_left.2019_08_29","WT","WT","enhanced","enhanced","WT"
"Daam.slide1_image18_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide1_image19_left.2019_08_29","inhibited","inhibited","enhanced","WT","WT"
"Daam.slide1_image19_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image2_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image20_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image21.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image23.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image24_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide1_image24_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide1_image25.2019_08_29","WT","inhibited","WT","WT","TVC alignment"
"Daam.slide1_image26_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image26_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image28.2019_08_29","WT","WT","WT","WT","WT"
