Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
0.02283714,-0.028814564,-0.02447135,0.02411421,0.021211358,-0.025437895,-0.083406664,-0.087309055,0.09093112,0.0014402409,-0.03384957,-0.05538689,-0.091951855,0.01447762
-0.24033982,-0.35990113,-0.36624765,0.35666674,-0.25053167,0.23957053,-0.3241072,-0.24310717,0.15007396,0.29240787,0.2254131,-0.30831802,-0.09506333,0.32325464
-0.25240314,-0.37596262,-0.38325736,0.37002894,-0.26339066,0.25148997,-0.32597506,-0.24025834,0.15104535,0.30563998,0.2368786,-0.31569922,-0.09487046,0.33863434
0.26817864,-0.10225094,-0.057737924,0.14266355,0.25756946,-0.27671152,-0.5235134,-0.5630271,0.54077834,-0.21162918,-0.30624968,-0.35948306,-0.5922739,-0.005706097
-0.47948393,-0.4081949,-0.44027266,0.3785988,-0.4833843,0.48411754,-0.04022967,0.12177236,-0.23353928,0.5078912,0.48601437,-0.15882963,0.35160452,0.42213237
-0.33199564,-0.30372542,-0.3263521,0.27833822,-0.33648586,0.33456835,-0.058120344,0.05189887,-0.119885914,0.36286488,0.33275238,-0.13283549,0.2023488,0.30743966
0.11615195,0.1867747,0.18885067,-0.2000796,0.12237382,-0.11772289,0.1740548,0.13138641,-0.06802069,-0.11887768,-0.11631897,0.16832146,0.052791517,-0.16463496
0.48104835,0.51692665,0.5390156,-0.51149225,0.4912872,-0.48576903,0.2599785,0.09029945,0.06916921,-0.5007601,-0.48594743,0.3352088,-0.17307217,-0.50071514
0.058693368,-0.042176798,-0.031990018,0.04302614,0.055394378,-0.062303893,-0.15211047,-0.16255116,0.16363214,-0.028911369,-0.07430576,-0.10137668,-0.17567219,0.013638392
0.15390475,0.15998971,0.16994856,-0.16186386,0.15819241,-0.15655543,0.057224985,0.006037091,0.039011907,-0.14848083,-0.15997842,0.09105405,-0.06508609,-0.15679403
0.3301626,0.24854967,0.27493918,-0.23721677,0.33308306,-0.33592245,-0.03710247,-0.14070065,0.21353279,-0.322384,-0.34550202,0.06450508,-0.28322688,-0.2682259
0.21099128,0.07886951,0.10202032,-0.066214286,0.20962095,-0.21643499,-0.16785379,-0.22440965,0.24817061,-0.18697438,-0.23015861,-0.07084996,-0.2926289,-0.11523641
-0.5134773,-0.5149539,-0.5412453,0.49025112,-0.5212995,0.5170355,-0.1939704,-0.009933821,-0.13053279,0.5531261,0.51376414,-0.29004532,0.25686646,0.5074498
0.011544403,-0.25095606,-0.23212755,0.27364835,-9.98918e-5,-0.016744234,-0.46718827,-0.45457712,0.38877147,0.04957742,-0.041727647,-0.3627706,-0.394856,0.17572004
0.11938781,-0.18919325,-0.15975837,0.22144973,0.10816184,-0.1261159,-0.49797347,-0.509067,0.45856678,-0.059116468,-0.15351139,-0.36516112,-0.4849546,0.10072961
